epoch,train_loss_total,train_loss_pred,train_loss_kl,train_theta_mean,train_theta_std,train_z_mean,train_z_std,train_beta_kl,val_loss_total,val_loss_pred,val_loss_kl,val_theta_mean,val_theta_std,val_z_mean,val_z_std
1,0.09596436262977695,0.0958848659538037,7.9496727235363815,0.0942317874040157,0.35245495630993934,-0.44557982628923537,3.15178323596663,1e-05,0.08997514718015429,0.08985426633710593,12.0880892310344,0.11790739472063494,0.41134359299297063,-0.4002288563150755,2.7577515185718804
2,0.08354705076525733,0.08336499490201156,9.102791005298892,0.0775289635966345,0.39497913782804095,-0.2212403483463858,2.2410561703873357,2e-05,0.07974416857034387,0.0795703852470492,8.689172899219352,0.059079184603523204,0.4405248853522287,-0.20752374953787092,1.9961952290064853
3,0.07348254286612965,0.07322752498897524,8.500600656438255,0.030990112543132546,0.4630527533392288,-0.15011394015955035,2.123237016569446,3e-05,0.07455765676330513,0.07429425890596819,8.779934083911735,0.024304077291572596,0.4916836451476728,-0.1264804537657281,2.197047644937542
4,0.06891968485040732,0.0685917424041361,8.198563869638933,0.011258325147480567,0.5485062344565484,-0.05287576790383751,2.0780366242037784,4e-05,0.07350736783004143,0.07319219321222373,7.879366082204899,-0.02267873486582662,0.5331081844551463,0.012790599059884136,1.7059336296269592
5,0.06639836510878261,0.0660701801811823,6.563699982306038,-0.0024423199353431936,0.6037978816307671,0.013949543591041811,1.969025515324269,5e-05,0.06587637378506257,0.06557031080756388,6.121254894095407,-0.0054188067237780965,0.6099022610086791,-0.020489336884745336,1.982905752222303
6,0.06332221769497831,0.06299236663625465,5.497515518330766,-0.004879491804018749,0.650567748512722,-0.009629632260584331,2.018677291395821,6e-05,0.06667944962080095,0.06641920834359988,4.337359502281942,-0.018339104688083623,0.6472993979991322,-0.031031534554515506,1.929348628285905
7,0.06208998690066499,0.061807692666301504,4.032775761179137,-0.010828435288652858,0.6770573394971885,0.016304003287435115,2.02467449456718,7e-05,0.06352774284675088,0.06328490161350075,3.4691583572978706,-0.014279750110188,0.6939120317848635,-0.0025830835954148428,2.0532320485988134
8,0.0605059450369851,0.06027856281235629,2.8422773417952216,-0.00921063216528847,0.7080549027102455,0.006037150737445936,2.073716242190576,8e-05,0.061462660962846916,0.06126399280529626,2.483352751799033,-0.016838435988715837,0.7204823586302744,0.009031819118986982,2.087931901636258
9,0.05961055375410651,0.0594221732875276,2.0931168142474568,-0.007166213322874178,0.7297582682453718,-2.199722058801427e-05,2.1210893936733157,9e-05,0.060477148006919404,0.06030769651414643,1.8827952499121008,-0.0016210545444677413,0.7214311285757683,-0.021749552599200323,2.090079450271499
10,0.058966011100086396,0.058804308840108385,1.6170220339065335,-0.007099330233373608,0.7438496806481804,-0.008461603072788699,2.175990814214066,0.0001,0.06046928638513659,0.06032869686752978,1.4058928842275915,-0.009166858342646713,0.7668475231654207,-0.015076352926102323,2.1659670111159204
11,0.05823702095192237,0.058099869387240856,1.3715153029502813,-0.0067767479719981205,0.7751449843071282,-0.015125413942001892,2.258649518815916,0.0001,0.05983855223781626,0.059707409321842056,1.311428983446578,-0.005609886786362654,0.8002519901369659,-0.08238479195975922,2.3419270817662627
12,0.05774645914272347,0.05762178928559881,1.2466986320158517,-0.002572480695021089,0.8006057278724589,-0.001142961397881001,2.3395819617418794,0.0001,0.05988167845447299,0.05976091026210449,1.2076839645143966,0.004444601696351884,0.828919036287657,-0.010884683477548016,2.3905247836045818
13,0.05737473210237166,0.05726346908861748,1.1126291814324698,-0.006257550991065866,0.8299156014491568,-0.0029217646493234044,2.4040513767018834,0.0001,0.05901650874547555,0.05890139858697502,1.1511002493576266,-0.0034071806995329304,0.8382993374072331,-0.06934725959509822,2.4041520373922
14,0.05689772694217799,0.05679169090772395,1.0603589746922413,-0.005333351642952084,0.8547750169388143,0.005613882829015206,2.4729239563747156,0.0001,0.05907306799166639,0.05897219442355801,1.00873743060609,-0.0014668875734623469,0.8829641358953126,0.035314752190278735,2.5465743440977286
15,0.05654776244561583,0.05645019808522762,0.9756439622511449,-0.0021391153223084725,0.8798614471462649,0.0012931579209958842,2.539104133050353,0.0001,0.05938144783738633,0.05928547664637297,0.9597121250461524,0.012653718217157982,0.8892436791473711,0.04380214949381131,2.605472181884336
16,0.05623878379803991,0.05614621889633565,0.9256486446988731,0.0005229116081662119,0.9036125708007474,0.012494441761919975,2.5999938454975244,0.0001,0.05797536560977009,0.05788594106553306,0.8942445995102466,0.00661073706414498,0.9112559061654857,0.03982203958792166,2.6138380111103325
17,0.05595571354534444,0.05586495108862753,0.907624512540299,0.0029581672980137446,0.9357706655617506,0.017827223674506495,2.6881724301705776,0.0001,0.058095380034245234,0.05800462897184869,0.9075119847982702,0.012423867504046837,0.9384625486924615,0.010829004828004874,2.7718147358424226
18,0.055704293534371396,0.055618791935260724,0.8550158579226709,0.0065830770076035815,0.9645185747959686,0.022187936087348828,2.7606287269355136,0.0001,0.05802871050759101,0.05794531217133495,0.833984311197845,0.006696814435048842,0.9740644004982961,-0.025677929544849255,2.7509262158837116
19,0.05550288009998218,0.05542057465437674,0.8230545303749572,0.001903391366272,0.9856579740983343,0.012520623359342021,2.8150195681604147,0.0001,0.058223328959773966,0.05814095612772754,0.8237275942950182,0.0023218268974566124,0.9991269489409218,0.060260410981357725,2.845328223537391
20,0.05525348491662349,0.05517477124638286,0.7871360624238822,0.006015259635239363,1.009519164028642,0.013765928861002927,2.8947803072141713,0.0001,0.05702540493557151,0.056947116490820765,0.7828827298862834,0.002237059713774164,1.0094009965238437,-0.01698394368146874,2.899709043368487
21,0.05498233372692952,0.05490248549074517,0.798482102674447,0.004368866845091961,1.0323728911618357,0.00868275706699907,2.968447357469088,0.0001,0.05754669341193119,0.05747004782020206,0.7664550534436401,0.004913981361183482,1.0531557277894357,-0.029638542008297648,2.9604692459106445
22,0.054811509094510366,0.05473520948186014,0.7629957581286321,0.0051367136767236634,1.060157119380856,0.018458656742230066,3.0264089920592774,0.0001,0.05724656408731366,0.05717531859245099,0.7124563934097827,0.006129256580811991,1.0772877259993217,0.017500503872007602,3.0859272110630087
23,0.05453156881021141,0.054457213974443676,0.7435478871923145,0.003384853959692308,1.0817391371642293,0.008782684097331609,3.1087471198019294,0.0001,0.05729050787401871,0.05721495951145467,0.7554857101238949,0.007966990241597235,1.0977364996789207,-0.003088588063919943,3.1513154036562208
24,0.054375223292709454,0.05430157622239729,0.736470070444246,0.004877381986189058,1.1025179834179515,0.012261926388591795,3.158112650442716,0.0001,0.05651161830190202,0.056440707873290696,0.7091063025971533,0.02134022174376837,1.104382122066659,0.033100278182143776,3.191314653611519
25,0.05428767640997208,0.05421685560426111,0.7082071576935783,0.0069687287529953635,1.122550249311471,-0.018950417000642393,3.200503342528538,0.0001,0.05638952542778472,0.05632378050768879,0.6574503300895154,0.019984384919975846,1.1407807712823572,-0.05645723895228822,3.2244214541475538
26,0.0539346820878305,0.05386643830296413,0.6824381062446648,0.012217912437710837,1.1504953746050333,-0.018025484656300734,3.2582091319624524,0.0001,0.05628043045880089,0.0562105622719711,0.6986825466156006,0.019772093533210352,1.159104347229004,-0.02668216936683781,3.290983156419136
27,0.053781859404663845,0.05371432852655067,0.6753098741306082,0.013523627198292984,1.1733660249049456,-0.02927822739782877,3.3386558241361413,0.0001,0.056329850212369165,0.05626217952706444,0.6767074784762422,0.01678304990727297,1.173819493240034,0.00971331468514416,3.3234487923098284
28,0.05365501636669013,0.05358675223498954,0.6826417565769243,0.016052187149136678,1.1821866926884355,-0.06976099354893711,3.375944685978322,0.0001,0.05622643778021907,0.05615651680969856,0.699209708563039,0.008750396216629257,1.1878097762524242,-0.03370847991129882,3.4134728673478247
29,0.053459906219430336,0.05339160541711015,0.6830086619138294,0.013592967508794148,1.2090048502012425,-0.07061859056157958,3.451758861541748,0.0001,0.05588835629988724,0.05581679305350277,0.7156341747498848,0.008267296294511204,1.2181386057759676,-0.10984939147232914,3.445347268816451
30,0.05327752459509758,0.05320909570366621,0.6842889839760152,0.018556413798200937,1.227196405243069,-0.09777942856920133,3.493804271860614,0.0001,0.05586424889698834,0.05579023797747115,0.7401104124499039,0.015301257424371344,1.2465800852842734,-0.08807973378718319,3.5260377098137226
31,0.053130262916772024,0.053059347023522455,0.7091591885415953,0.024084971698255776,1.2511342266313137,-0.10144880042183105,3.553915208863958,0.0001,0.05586355032635407,0.05578858919546638,0.7496107413735188,0.024509991663442532,1.2542029803907369,-0.019401920925740574,3.5466439858288834
32,0.05283868903059307,0.052768826425128465,0.6986264634090037,0.023683821481402773,1.2668143599749035,-0.11345088486431487,3.596730817909986,0.0001,0.0553560577542849,0.0552813762300451,0.746815197064843,0.027118596235211467,1.2803229076761595,-0.14290139808411328,3.610918360696712
33,0.05254781792075977,0.05247488948078181,0.7292846558784295,0.03000949391992647,1.2861679942739157,-0.15825188940070026,3.6214339042853294,0.0001,0.05536928767679443,0.05529365295045812,0.75634559359349,0.03079081038144273,1.3006671583148794,-0.16544461588729437,3.602774079416839
34,0.05235395563988025,0.05228174937356323,0.7220623515427218,0.03288198708429218,1.3089272090850885,-0.1836932865478062,3.6735492845199884,0.0001,0.055161991904319176,0.055087740992156554,0.7425071664259467,0.035015024717005204,1.3288806307483727,-0.17754652023210493,3.661263022624271
35,0.0522748190267789,0.05220206795164366,0.7275110783839522,0.03029660502743128,1.3290486356928335,-0.17697112229743683,3.707443438033651,0.0001,0.05482263873580476,0.05475357846474983,0.6906020372686251,0.04232050898209424,1.3459630264362819,-0.17206426266528352,3.731899190956438
36,0.05201156533010582,0.05193892393267811,0.7264133675907264,0.027757556377835637,1.3479677819866906,-0.1687676312522235,3.7567662150991112,0.0001,0.055034637870922894,0.05496251179089009,0.7212587049309637,0.02240378603758946,1.3473000627168468,-0.12289397066957514,3.7244502222034295
37,0.05181411509840463,0.051742072331307204,0.7204274061412201,0.02959222265156929,1.3658843775202072,-0.17375834175421928,3.7859329965567716,0.0001,0.05469059723783547,0.054628237347367783,0.6235989164298689,0.04847487880730293,1.3836586643272721,-0.1512673090566212,3.8808412854100616
38,0.0516058449760794,0.05153564712095536,0.701977947412545,0.03055822357889364,1.3804478130797933,-0.201921585953892,3.846635761311804,0.0001,0.0543383282255119,0.05426557682139773,0.7275168543130579,0.03372990770239226,1.4007593393325806,-0.17258882351403296,3.820017734044035
39,0.051561025191316806,0.05148920158443718,0.7182354358542664,0.032552944301076726,1.3922251882180439,-0.2139817381612245,3.8443632629794293,0.0001,0.05488808778390079,0.05481838051911811,0.697074896013233,0.03323137424361538,1.3798968674431384,-0.20146495513093304,3.859181477989949
40,0.05129748210641779,0.05122873999284279,0.6874211226221087,0.03412677301342068,1.3999325426603084,-0.22233520446719063,3.8678751296726044,0.0001,0.05470949610773946,0.05464385769946475,0.6563851514332731,0.04460087875035447,1.4221671114505177,-0.13586113552077556,3.9052424162206516
41,0.051265716387312955,0.05119910159977037,0.6661484199137713,0.03576637846194406,1.4184316786313778,-0.21810373123553226,3.930942992757523,0.0001,0.05416959529401551,0.05409972033870052,0.698747349457002,0.042116402897616506,1.4359985976152017,-0.12429516749377821,3.969410557142446
42,0.05103554903177237,0.05096603331170963,0.6951576852989028,0.038176809910678206,1.4298795381193685,-0.2253832716699921,3.982281347786343,0.0001,0.0544338380576859,0.05436287180218898,0.7096639686906842,0.03263522437970403,1.4396002393373302,-0.29032612508031685,4.017336821891893
43,0.05086092530794402,0.05079121283895698,0.6971246592740182,0.03895551289496265,1.4436547758312464,-0.25206906445734667,3.996651507609691,0.0001,0.0539346671020481,0.053868780411045314,0.658865858131731,0.031588282383663555,1.449614387162974,-0.22705655880797077,3.98385325955673
44,0.05090289831915821,0.050834093732531074,0.6880453743477274,0.03708015399493714,1.4490942620468816,-0.27720028561660703,4.025828333138149,0.0001,0.0575539923574723,0.057497551113786835,0.5644124301386552,0.05077897799266896,1.4294804385010624,-0.3194082425513738,4.005502009055983
45,0.05101363895854666,0.05094217894132353,0.7145995912183454,0.03708498639122419,1.4574239074019302,-0.30961418021503395,4.0173657931400655,0.0001,0.053895684195236424,0.053825809607203574,0.698744748679685,0.03813796458949505,1.4713189820168724,-0.2407235906157695,4.059173560478318
46,0.05053591146919592,0.050464275976242645,0.716355619591464,0.04048373536281222,1.4763951947379916,-0.30488311414661456,4.0645990397112834,0.0001,0.05412933854779727,0.054054969318316014,0.7436926583169212,0.037730543074053775,1.485258485229922,-0.29456331664827506,4.062536958237769
47,0.05047539518699447,0.05040095455706331,0.7444056640933293,0.041236894426877294,1.493418289967159,-0.30204917309180457,4.08588329005199,0.0001,0.053982150334287694,0.05390768162381481,0.7446881666989393,0.045877753533947636,1.4920440693976174,-0.22367839342061901,4.098266611636524
48,0.05028692144589568,0.05021091760342964,0.7600385049096644,0.04254219876883508,1.505643589670239,-0.3149538129819541,4.133244069812565,0.0001,0.05364717779235101,0.05357462472059357,0.7255315562369118,0.058969308687767515,1.5151961470993471,-0.3138426899070471,4.139941967708964
49,0.050119337796185624,0.05004068661223084,0.7865120714553507,0.04277545138928861,1.5189458932165143,-0.3165154985646795,4.137890834791411,0.0001,0.053549490921514134,0.053469761681388804,0.7972906013609657,0.046457037119798254,1.5043254469481993,-0.2599712465430649,4.046498651235876
50,0.05004023999094857,0.04996099203269181,0.7924789443320956,0.0464454269364185,1.5250199827800635,-0.3058253273262012,4.130614398851276,0.0001,0.0539152790647997,0.0538322916123229,0.829875646342694,0.04865373713029942,1.549322593380028,-0.3674560852453742,4.200020649063755
51,0.04995184434084867,0.049870707054968204,0.811372405894061,0.04664566298056771,1.5419686787081865,-0.3064438922671505,4.16545369697083,0.0001,0.05406585482644363,0.053981993767157406,0.8386093789423016,0.049328046837742896,1.5375193239937366,-0.2338152399785082,4.189834567862497
52,0.049831736432537306,0.049750049825142376,0.816865191154751,0.051467790399044484,1.5487841812374326,-0.28388527255392837,4.165122173183977,0.0001,0.05373997813169385,0.053660007377325646,0.7997080112846804,0.054325801228553475,1.5471834649502392,-0.3464916298087214,4.157853163463969
53,0.04980511518383852,0.0497206872623566,0.8442795506379109,0.04657501798804658,1.5556379107768328,-0.3188739999414126,4.2034658864802195,0.0001,0.053701925970299144,0.0536189467554361,0.8297928479355825,0.054823839433596165,1.5702759648712588,-0.32776471783577554,4.23548667531618
54,0.04962336621371298,0.04953894279169359,0.8442333944102164,0.05112336096924533,1.5704241514629411,-0.3060509501352615,4.2263480532868085,0.0001,0.05371382376047927,0.05362829277423066,0.8553093142912421,0.07436153198211966,1.5760550969083544,-0.30282957568554814,4.276067545716192
55,0.0493503764973123,0.049261219263553195,0.89157215782423,0.053029635606819954,1.5808149605830653,-0.2932104014032264,4.236673869205834,0.0001,0.05322865585626011,0.0531439762300169,0.8467967711703878,0.04782470887605573,1.5951559442869374,-0.2877295151562758,4.273335604600503
56,0.049412475210708795,0.04932164414049677,0.9083106786700803,0.04759834684285982,1.5936239981100784,-0.2940867545867263,4.258576012843456,0.0001,0.05352323051069824,0.053425757870287964,0.9747261656841761,0.055467523109744975,1.6062973922407124,-0.22805849725091962,4.306178657101913
57,0.049387221689440215,0.04929193111258968,0.9529057991017669,0.04589990112884218,1.5999240195560624,-0.29507247467077014,4.259625094821991,0.0001,0.05341975501095745,0.05332488771265661,0.9486725943189271,0.05845281345323777,1.58250209143464,-0.2468174393747894,4.269583977444071
58,0.049285524628963816,0.049190356109959615,0.9516865261706323,0.05556099684197674,1.5978029293023037,-0.28848361871395506,4.2677287953785,0.0001,0.05411702494176341,0.05402027296138481,0.967518152485431,0.06271226158444311,1.6229314031735274,-0.2488975433606497,4.26670199380794
59,0.049249019268668565,0.049153102714019174,0.9591645621702896,0.04807708537632841,1.6012075309431575,-0.2537924254852385,4.2551358258533645,0.0001,0.05287084030643315,0.05277009686114083,1.0074362704451656,0.04097681623739256,1.5925704358329236,-0.211269376248541,4.199293015708386
60,0.049204116971703446,0.04910055142008496,1.0356554869648407,0.04949211538314396,1.603102390761909,-0.2794128902666734,4.255536727752821,0.0001,0.05332315130762651,0.05321724329825858,1.0590803035548035,0.057174535022235254,1.6031329732545665,-0.24952434674954752,4.251968095000361
61,0.04875987017821673,0.04865226739451792,1.076027229348889,0.054356145730397626,1.611401907927613,-0.264168681785279,4.274743230050665,0.0001,0.05356546779963332,0.053461862491889736,1.0360531210899353,0.05572749569382466,1.6251583922077233,-0.27565504579057154,4.284935662444209
62,0.04858491882403938,0.048483771515173135,1.0114741707568058,0.05646107196443934,1.6171148435260645,-0.280096980556184,4.293967871640546,0.0001,0.05190494367983979,0.05180473069489842,1.0021311909380093,0.058145053842118086,1.6188849798390563,-0.25841054057991003,4.257019694422333
63,0.048252018512645156,0.04814708843284665,1.0493001419104648,0.053865595963877855,1.6183046214745693,-0.26435608543425826,4.291885574164653,0.0001,0.05181796827786405,0.05171742117111112,1.005471194294137,0.05059055401615693,1.6203818740979048,-0.20310314090817538,4.245963734640202
64,0.049434513151380984,0.049322437587629206,1.1207566171302252,0.02192084352960595,1.6432443473944656,-0.19292842975418956,4.409144619218409,0.0001,0.05296516386975705,0.05286424208275029,1.0092134291017558,0.03937027787028904,1.6391345665488444,-0.176833726701812,4.372999553949061
65,0.048802900837724414,0.048696349925803246,1.0655089988378184,0.0486396426681535,1.6513257987969299,-0.21894866182447326,4.3998477827380436,0.0001,0.05257759395409638,0.05246390103244446,1.1369290973099184,0.049832007519795864,1.6492666459419358,-0.21504822347155758,4.352506194316166
66,0.048454942366978414,0.048349044651295955,1.0589774484956243,0.060772603070016015,1.636500538983523,-0.23812603269377805,4.33917066767203,0.0001,0.0523796150801887,0.05228863714236609,0.9097788963519352,0.06589323072366311,1.640494017533853,-0.20196621057013392,4.364044807326626
67,0.04792556062433372,0.047826475534938795,0.9908512329970541,0.06322754658824808,1.6460074215968592,-0.23272683533350233,4.3603708227404905,0.0001,0.051845908217446904,0.05174688659083675,0.9902172449608924,0.06278704316683219,1.6404218858396504,-0.2104442800119729,4.2847986557114295
68,0.047804452227445095,0.04770852714035905,0.9592516539787103,0.062302475113613566,1.6496335128272617,-0.2498763367967088,4.360989006543879,0.0001,0.05253592154509585,0.05243130783799668,1.0461391949317824,0.058676650721422384,1.6640234195010764,-0.2046101298970236,4.404810784568249
